Yaourts entiers|U|Yaourt brassé nature|b|LAIT entier, protéines de LAIT, minéraux du LAIT, ferments, vitamine D.|255|3.5|3.6|0|3.8|0.1||0.8||||||||||0.12|||||0|en:milk||
Yaourts entiers|Val de Praz|Yaourts sur lit de fruits au lait entier de Savoie, Fruits d'été|c|_Lait_ entier standardisé, fruits, sucre 7.6%, sirop de glucose fructose2.2%, épaississants : E440 et E410. arômes, colorants : E163et E160a, conservateur: E202. ferments _lactiques_|406|2.8|14.2||3|0.1|||||||||||||||||0|Lait, lactiques|E160a - Bêta-carotène,E163 - Anthocyanes,E202 - Sorbate de potassium,E410 - Farine de graines de caroube,E440 - Pectines|
Yaourts entiers|Val de Praz|Yaourts sur lit de fruits|c|_Lait_ entier standardisé, fruits, sucre 8.5%, sirop de glucose-fructose 2.4%, amidon modiﬁé, épaississants : E440. E410 et E415. arômes, colorant : E120. conservateur : E202.  ferments lactiques.|410|9|14.5||3|0.1|||||||||||||||||0|Lait|E120 - Acide carminique,E202 - Sorbate de potassium,E410 - Farine de graines de caroube,E415 - Gomme xanthane,E440 - Pectines|
Yaourts entiers|Vrai|Yaourt au Lait Entier|c|_Lait_ entier* pasteurisé 78%, myrtille* 8.8%, sucre de canne non raffiné* 8.2%, _lait_ écrémé en poudre*, arôme naturel*, amidon de tapioca*, épaississants : pectine - farine de graines de caroube, correcteur d'acidité : citrate de calcium, ferments lactiques sélectionnés. *issus de l'agriculture biologique.|420|2.8|14.1||3.6|0.1|||||||||||||||||0|en:milk|E333 - Citrates de calcium,E410 - Farine de graines de caroube,E440 - Pectines,E440i - Pectine|
Yaourts entiers|Yoplait|Nature Sucré au sucre de canne au lait entier|c|_Lait_ entier - Poudre de lait écrémé - Concentré des minéraux du _lait_ - Ferments lactiques) - Sucre de canne : 8.2% - Vitamine D.|368|3.2|10.8|0.1|3|0.12||||||||||||0.12|||||0|Lait, lait||
Yaourts entiers|carrefour,carrefour bio|Yaourt bio au lait entier Vanille|c|Lait entier* 89.6%, sucre de canne* 8.5%, poudre de lait écrémé*, arôme naturel de vanille 0.7%, ferments lactiques.: ingrédients issus de l'agriculture biologique.|367|3.3|11||3.1|0.1|||||||||||||||||0|||
Yaourts entiers|nos régions ont du talent,Baiko|Yaourts au lait entier de Haute-Savoie|c|_Lait_ entier 72 %, fruits 12 %, sucre 10 %, protéines de _lait_, sirop de glucose-fructose, _crème_, amidon modifié de tapioca, jus de citron, épaississant : pectines, arômes, conservateur : sorbate de potassium, ferments lactiques, colorant : caroténoïdes.|448|2.8|15|0.5|3.2|0.2|||||||||||||||||0|Lait, lait, crème, lactose|E14XX - Amidons modifiés,E160 - Caroténoïdes,E202 - Sorbate de potassium,E440 - Pectines|
Yaourts à boire|Auchan|LB6 saveur Fraise|b|_Lait_ partiellement écrémé, sucre, fraise, dextrose, minéraux du _lait_, amidon modifié de tapioca, arôme naturel, ferments lactiques dont [???], vitamine D, vitamine B6. protéines de _lait_.|307|1.3|12.3||2.8|0.1||7.5e-07|||||||0.00021|||0.12|||||0|Lait, lait, lait, lait|E14XX - Amidons modifiés|
Yaourts à boire|Auchan|Yaourt à Boire saveur Vanille|b|_Lait_ partiellement écrémé, sucre 8.8 %, arôme naturel de vanille, concentré des minéraux du _lait_, ferments lactiques.|301|1.3|12||3.1|0.1||||||||||||0.12|||||0|Lait, lait, lait||
Yaourts à boire|Bio Village,Marque Repère|Yaourt a boire a la vanille|b|Lait partiellement écrémé*91%, sucre de canne* 7.8%, arôme naturel de vanille, ferments lactiques, lait écrémé en poudre*|280|1.3|11||2.8|0.08|||||||||||||||||0|||
Yaourts à boire|Bio Village,Marque Repère|Yaourt à boire à la fraise|b|_Lait_ partiellement écrémé*86 %, sucre de canne* 7.8 %, fraise* 5 %, amidon de manioc*, jus de citron*, arômes naturels, ferments _lactiques_. * Ingrédients issus de l'agriculture biologique.|304|0.9|12|0|2.9|0.11|||||||||||||||||0|Lait, lactiques||
Yaourts à boire|Carrefour|Dessert lacté à boire|c|Lait écrémé, sucre, crème, lactose et minéraux du lait, chocolat en poudre 1.6%, amidon de maïs, chocolat noir 0.6%, chocolat 0.6%, minéraux du lait, épaississant : carraghénanes, protéines de lait.|351|1.8|12|0.7|3|0.1|||||||||||||||||0|en:milk|E407 - Carraghénanes|
Yaourts à boire|Carrefour|Lait fermenté à boire Saveur Fraise|b|_Lait_ partiellement écrémé à 1.5% de matière grasse, sucre, purée de fraise 2.1%, dextrose 1.4%, minéraux du _lait_, amidon modifié, arôme naturel, ferments _lactiques_ dont lactobacillus caséi, vitamine D, vitamine B6. protéines de _lait_.|297|1.4|12|0|2.6|0.0899999999999999||7.5e-07|||||||0.00021|||0.12|||||0|Lait, lait, lactiques, lait|E14XX - Amidons modifiés|
